violin ;   -10     ;    -9     ;    -8     ;    -7     ;    -6     ;    -5     ;    -4     ;    -3     ;    -2     ;    -1     ;     0     ;     1     ;     2     ;     3     ;     4     ;
       ;    B3     ;    C4     ;  C#4/Db4  ;    D4     ;  D#4/Eb4  ;    E4     ;    F4     ;  F#4/Gb4  ;    G4     ;  G#4/Ab4  ;    A4     ;  A#4/Bb4  ;    B4     ;    C5     ;  C#5/Db5  ;
       ;  246.9Hz  ;  261.6Hz  ;  277.2Hz  ;  293.7Hz  ;  311.1Hz  ;  329.6Hz  ;  349.2Hz  ;  370.0Hz  ;  392.0Hz  ;  415.3Hz  ;  440.0Hz  ;  466.2Hz  ;  493.9Hz  ;  523.3Hz  ;  554.4Hz  ;
C/a    ;_          ;_          ;X          ;_          ;X          ;_          ;_          ;X          ;_          ;X          ;_          ;X          ;_          ;_          ;X          ;
       ;-7:_       ;-6:_       ;-6:# /-5:b ;-5:_       ;-5:# /-4:b ;-4:_       ;-3:_       ;-3:# /-2:b ;-2:_       ;-2:# /-1:b ;-1:_       ;-1:# / 0:b ; 0:_       ; 1:_       ; 1:# / 2:b ;
       ; -10       ;  -9       ;  -8 /  -8 ;  -7       ;  -6 /  -6 ;  -5       ;  -4       ;  -3 /  -3 ;  -2       ;  -1 /  -1 ;   0       ;   1 /   1 ;   2       ;   3       ;   4 /   4 ;
       ;B          ;C          ;C#         ;D          ;D#         ;E          ;F          ;F#         ;G          ;G#         ;A          ;Bb         ;B          ;C          ;C#         ;
F/d    ;X          ;_          ;X          ;_          ;X          ;_          ;_          ;X          ;_          ;X          ;_          ;b          ;X          ;_          ;X          ;
       ;-7:n /-6:b ;-6:_       ;-6:# /-5:b ;-5:_       ;-5:# /-4:b ;-4:_       ;-3:_       ;-3:# /-2:b ;-2:_       ;-2:# /-1:b ;-1:_       ; 0:_       ; 0:n / 1:b ; 1:_       ; 1:# / 2:b ;
       ; -10 / -10 ;  -9       ;  -8 /  -8 ;  -7       ;  -6 /  -6 ;  -5       ;  -4       ;  -3 /  -3 ;  -2       ;  -1 /  -1 ;   0       ;   1       ;   2 /   2 ;   3       ;   4 /   4 ;
       ;Cb         ;C          ;Db         ;D          ;Eb         ;E          ;F          ;Gb         ;G          ;Ab         ;A          ;Bb         ;Cb         ;C          ;Db         ;
Bb/g   ;X          ;_          ;X          ;_          ;b          ;X          ;_          ;X          ;_          ;X          ;_          ;b          ;X          ;_          ;X          ;
       ;-7:n /-6:b ;-6:_       ;-6:# /-5:b ;-5:_       ;-4:_       ;-4:n /-3:b ;-3:_       ;-3:# /-2:b ;-2:_       ;-2:# /-1:b ;-1:_       ; 0:_       ; 0:n / 1:b ; 1:_       ; 1:# / 2:b ;
       ; -10 / -10 ;  -9       ;  -8 /  -8 ;  -7       ;  -6       ;  -5 /  -5 ;  -4       ;  -3 /  -3 ;  -2       ;  -1 /  -1 ;   0       ;   1       ;   2 /   2 ;   3       ;   4 /   4 ;
       ;Cb         ;C          ;Db         ;D          ;Eb         ;Fb         ;F          ;Gb         ;G          ;Ab         ;A          ;Bb         ;Cb         ;C          ;Db         ;
Eb/c   ;X          ;_          ;X          ;_          ;b          ;X          ;_          ;X          ;_          ;b          ;X          ;b          ;X          ;_          ;X          ;
       ;-7:n /-6:b ;-6:_       ;-6:# /-5:b ;-5:_       ;-4:_       ;-4:n /-3:b ;-3:_       ;-3:# /-2:b ;-2:_       ;-1:_       ;-1:n / 0:bb; 0:_       ; 0:n / 1:b ; 1:_       ; 1:# / 2:b ;
       ; -10 / -10 ;  -9       ;  -8 /  -8 ;  -7       ;  -6       ;  -5 /  -5 ;  -4       ;  -3 /  -3 ;  -2       ;  -1       ;   0 /   0 ;   1       ;   2 /   2 ;   3       ;   4 /   4 ;
       ;Cb         ;C          ;Db         ;D          ;Eb         ;Fb         ;F          ;Gb         ;G          ;Ab         ;Bbb        ;Bb         ;Cb         ;C          ;Db         ;
Ab/f   ;X          ;_          ;b          ;X          ;b          ;X          ;_          ;X          ;_          ;b          ;X          ;b          ;X          ;_          ;b          ;
       ;-7:n /-6:b ;-6:_       ;-5:_       ;-5:n /-4:bb;-4:_       ;-4:n /-3:b ;-3:_       ;-3:# /-2:b ;-2:_       ;-1:_       ;-1:n / 0:bb; 0:_       ; 0:n / 1:b ; 1:_       ; 2:_       ;
       ; -10 / -10 ;  -9       ;  -8       ;  -7 /  -7 ;  -6       ;  -5 /  -5 ;  -4       ;  -3 /  -3 ;  -2       ;  -1       ;   0 /   0 ;   1       ;   2 /   2 ;   3       ;   4       ;
       ;Cb         ;C          ;Db         ;Ebb        ;Eb         ;Fb         ;F          ;Gb         ;G          ;Ab         ;Bbb        ;Bb         ;Cb         ;C          ;Db         ;
Db/bb  ;X          ;_          ;b          ;X          ;b          ;X          ;_          ;b          ;X          ;b          ;X          ;b          ;X          ;_          ;b          ;
       ;-7:n /-6:b ;-6:_       ;-5:_       ;-5:n /-4:bb;-4:_       ;-4:n /-3:b ;-3:_       ;-2:_       ;-2:n /-1:bb;-1:_       ;-1:n / 0:bb; 0:_       ; 0:n / 1:b ; 1:_       ; 2:_       ;
       ; -10 / -10 ;  -9       ;  -8       ;  -7 /  -7 ;  -6       ;  -5 /  -5 ;  -4       ;  -3       ;  -2 /  -2 ;  -1       ;   0 /   0 ;   1       ;   2 /   2 ;   3       ;   4       ;
       ;Cb         ;C          ;Db         ;Ebb        ;Eb         ;Fb         ;F          ;Gb         ;Abb        ;Ab         ;Bbb        ;Bb         ;Cb         ;C          ;Db         ;
C#/a#  ;X          ;#          ;#          ;X          ;#          ;X          ;#          ;#          ;X          ;#          ;X          ;#          ;X          ;#          ;#          ;
       ;-7:##/-6:n ;-6:_       ;-5:_       ;-5:##/-4:n ;-4:_       ;-4:##/-3:n ;-3:_       ;-2:_       ;-2:##/-1:n ;-1:_       ;-1:##/ 0:n ; 0:_       ; 0:##/ 1:n ; 1:_       ; 2:_       ;
       ; -10 / -10 ;  -9       ;  -8       ;  -7 /  -7 ;  -6       ;  -5 /  -5 ;  -4       ;  -3       ;  -2 /  -2 ;  -1       ;   0 /   0 ;   1       ;   2 /   2 ;   3       ;   4       ;
       ;B##        ;C#         ;D#         ;D##        ;E#         ;E##        ;F#         ;G#         ;G##        ;A#         ;A##        ;B#         ;B##        ;C#         ;D#         ;
F#/d#  ;_          ;X          ;#          ;X          ;#          ;X          ;#          ;#          ;X          ;#          ;X          ;#          ;_          ;X          ;#          ;
       ;-7:_       ;-7:# /-6:n ;-6:_       ;-6:##/-5:n ;-5:_       ;-5:##/-4:n ;-4:_       ;-3:_       ;-3:##/-2:n ;-2:_       ;-2:##/-1:n ;-1:_       ; 0:_       ; 0:# / 1:n ; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7 /  -7 ;  -6       ;  -5 /  -5 ;  -4       ;  -3       ;  -2 /  -2 ;  -1       ;   0 /   0 ;   1       ;   2       ;   3 /   3 ;   4       ;
       ;B          ;B#         ;C#         ;C##        ;D#         ;D##        ;E#         ;F#         ;F##        ;G#         ;G##        ;A#         ;B          ;B#         ;C#         ;
Gb/eb  ;b          ;X          ;b          ;X          ;b          ;X          ;_          ;b          ;X          ;b          ;X          ;b          ;b          ;X          ;b          ;
       ;-7:_       ;-7:n /-6:bb;-6:_       ;-6:n /-5:bb;-5:_       ;-5:n /-4:b ;-4:_       ;-3:_       ;-3:n /-2:bb;-2:_       ;-2:n /-1:bb;-1:_       ; 0:_       ; 0:n / 1:bb; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7 /  -7 ;  -6       ;  -5 /  -5 ;  -4       ;  -3       ;  -2 /  -2 ;  -1       ;   0 /   0 ;   1       ;   2       ;   3 /   3 ;   4       ;
       ;Bb         ;Cbb        ;Cb         ;Dbb        ;Db         ;Eb         ;E          ;Fb         ;Gbb        ;Gb         ;Abb        ;Ab         ;Bb         ;Cbb        ;Cb         ;
B/g#   ;_          ;X          ;#          ;X          ;#          ;_          ;X          ;#          ;X          ;#          ;X          ;#          ;_          ;X          ;#          ;
       ;-7:_       ;-7:# /-6:n ;-6:_       ;-6:##/-5:n ;-5:_       ;-4:_       ;-4:# /-3:n ;-3:_       ;-3:##/-2:n ;-2:_       ;-2:##/-1:n ;-1:_       ; 0:_       ; 0:# / 1:n ; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7 /  -7 ;  -6       ;  -5       ;  -4 /  -4 ;  -3       ;  -2 /  -2 ;  -1       ;   0 /   0 ;   1       ;   2       ;   3 /   3 ;   4       ;
       ;B          ;B#         ;C#         ;C##        ;D#         ;E          ;E#         ;F#         ;F##        ;G#         ;G##        ;A#         ;B          ;B#         ;C#         ;
Cb/ab  ;b          ;X          ;b          ;X          ;b          ;b          ;X          ;b          ;X          ;b          ;X          ;b          ;b          ;X          ;b          ;
       ;-7:_       ;-7:n /-6:bb;-6:_       ;-6:n /-5:bb;-5:_       ;-4:_       ;-4:n /-3:bb;-3:_       ;-3:n /-2:bb;-2:_       ;-2:n /-1:bb;-1:_       ; 0:_       ; 0:n / 1:bb; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7 /  -7 ;  -6       ;  -5       ;  -4 /  -4 ;  -3       ;  -2 /  -2 ;  -1       ;   0 /   0 ;   1       ;   2       ;   3 /   3 ;   4       ;
       ;Bb         ;Cbb        ;Cb         ;Dbb        ;Db         ;Eb         ;Fbb        ;Fb         ;Gbb        ;Gb         ;Abb        ;Ab         ;Bb         ;Cbb        ;Cb         ;
E/c#   ;_          ;X          ;#          ;X          ;#          ;_          ;X          ;#          ;X          ;#          ;_          ;X          ;_          ;X          ;#          ;
       ;-7:_       ;-7:# /-6:n ;-6:_       ;-6:##/-5:n ;-5:_       ;-4:_       ;-4:# /-3:n ;-3:_       ;-3:##/-2:n ;-2:_       ;-1:_       ;-1:# / 0:b ; 0:_       ; 0:# / 1:n ; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7 /  -7 ;  -6       ;  -5       ;  -4 /  -4 ;  -3       ;  -2 /  -2 ;  -1       ;   0       ;   1 /   1 ;   2       ;   3 /   3 ;   4       ;
       ;B          ;B#         ;C#         ;C##        ;D#         ;E          ;E#         ;F#         ;F##        ;G#         ;A          ;A#         ;B          ;B#         ;C#         ;
A/f#   ;_          ;X          ;#          ;_          ;X          ;_          ;X          ;#          ;X          ;#          ;_          ;X          ;_          ;X          ;#          ;
       ;-7:_       ;-7:# /-6:n ;-6:_       ;-5:_       ;-5:# /-4:b ;-4:_       ;-4:# /-3:n ;-3:_       ;-3:##/-2:n ;-2:_       ;-1:_       ;-1:# / 0:b ; 0:_       ; 0:# / 1:n ; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7       ;  -6 /  -6 ;  -5       ;  -4 /  -4 ;  -3       ;  -2 /  -2 ;  -1       ;   0       ;   1 /   1 ;   2       ;   3 /   3 ;   4       ;
       ;B          ;B#         ;C#         ;D          ;D#         ;E          ;E#         ;F#         ;F##        ;G#         ;A          ;A#         ;B          ;B#         ;C#         ;
D/b    ;_          ;X          ;#          ;_          ;X          ;_          ;X          ;#          ;_          ;X          ;_          ;X          ;_          ;X          ;#          ;
       ;-7:_       ;-7:# /-6:n ;-6:_       ;-5:_       ;-5:# /-4:b ;-4:_       ;-4:# /-3:n ;-3:_       ;-2:_       ;-2:# /-1:b ;-1:_       ;-1:# / 0:b ; 0:_       ; 0:# / 1:n ; 1:_       ;
       ; -10       ;  -9 /  -9 ;  -8       ;  -7       ;  -6 /  -6 ;  -5       ;  -4 /  -4 ;  -3       ;  -2       ;  -1 /  -1 ;   0       ;   1 /   1 ;   2       ;   3 /   3 ;   4       ;
       ;B          ;B#         ;C#         ;D          ;D#         ;E          ;E#         ;F#         ;G          ;G#         ;A          ;A#         ;B          ;B#         ;C#         ;
G/e    ;_          ;_          ;X          ;_          ;X          ;_          ;X          ;#          ;_          ;X          ;_          ;X          ;_          ;_          ;X          ;
       ;-7:_       ;-6:_       ;-6:# /-5:b ;-5:_       ;-5:# /-4:b ;-4:_       ;-4:# /-3:n ;-3:_       ;-2:_       ;-2:# /-1:b ;-1:_       ;-1:# / 0:b ; 0:_       ; 1:_       ; 1:# / 2:b ;
       ; -10       ;  -9       ;  -8 /  -8 ;  -7       ;  -6 /  -6 ;  -5       ;  -4 /  -4 ;  -3       ;  -2       ;  -1 /  -1 ;   0       ;   1 /   1 ;   2       ;   3       ;   4 /   4 ;
       ;B          ;C          ;C#         ;D          ;D#         ;E          ;E#         ;F#         ;G          ;G#         ;A          ;A#         ;B          ;C          ;C#         ;
